,pod,scenarioID,query,count,>0,total
0,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_bpf_block_irq_total,11,0,0.0
1,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_bpf_cpu_time_us_total,11,0,0.0
2,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_bpf_net_rx_irq_total,11,3,563200.0
3,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_bpf_net_tx_irq_total,11,0,0.0
4,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_cgroupfs_cpu_usage_us_total,11,0,0.0
5,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_cgroupfs_memory_usage_bytes_total,11,0,0.0
6,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_cgroupfs_system_cpu_usage_us_total,11,0,0.0
7,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_cgroupfs_user_cpu_usage_us_total,11,0,0.0
8,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_core_joules_total,11,10,183.48
9,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_dram_joules_total,11,10,54.0
10,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_joules_total,11,10,99.87
11,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_kubelet_cpu_usage_total,11,10,52.0
12,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_kubelet_memory_bytes_total,11,10,1212416.0
13,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_other_joules_total,11,0,0.0
14,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_package_joules_total,11,10,45.87
15,sample-cpeh-3869177348-vph8g,thread=4,kepler_container_uncore_joules_total,11,0,0.0
16,,,kepler_container_core_joules_total,1319,1318,828439019.577
17,,,kepler_container_dram_joules_total,1319,1318,34684059.786
18,,,kepler_container_joules_total,1319,1318,308722767.05700004
19,,,kepler_container_other_joules_total,1319,480,6708.543
20,,,kepler_container_package_joules_total,1319,1318,274038707.271
21,,,kepler_container_uncore_joules_total,1319,0,0.0
22,,,kepler_node_core_joules_total,24,24,2980480982.872
23,,,kepler_node_dram_joules_total,24,24,458938767.026
24,,,kepler_node_other_joules_total,24,0,0.0
25,,,kepler_node_package_joules_total,24,24,878976181.552
26,,,kepler_node_platform_joules_total,24,24,1920037.634
27,,,kepler_node_uncore_joules_total,24,0,0.0
28,,,node_cpu_seconds_total,768,672,4539713.61
